,Song ID,asset_id,Title,songtrust_composer,youtube_writers
868831,2819110,A317472801527329,GENTLE RIVER SOUNDS AND BACKGROUND MUSIC,TRIVELLATO,TRIVELLATO GIORDANO/SACCHETTO GIULIANO
868844,2819122,A703395384928403,GENTLE SLEEP SONG,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868846,2819124,A518531138095153,GENTLE SONG,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
868847,2819128,A606953474655350,GENTLE SONGS,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO, TOBACCO MUSIC EDITION"
868852,3151100,A557570971675131,GENTLE SOUND OF RAIN,"TRIVELLATO, GIORDANO","GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868855,2819131,A372873308410429,GENTLE SOUNDS,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
868858,2819138,A915745184939333,GENTLE SOUNDS OF NATURE,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
868890,2819146,A112640060378893,GENTLE SUN,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO, TOBACCO MUSIC EDITION"
868893,2819148,A749434505723248,GENTLE SYMPHONY,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
868896,2819149,A349061122828572,GENTLE TONES (SPA & MASSAGE),TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868920,3041639,A211463850327676,GENTLE TOUCH,"BALDWIN, ROBERT",DENNIS STANLEY JOHNSON;LENNOX ARMSTRONG;OHIZEP ZOIEA BEN;ROBERT GARFIELD JR BALDWIN;ZOIEA BEN OHIZEP
868925,2819158,A530600756485348,GENTLE VOICE,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO, TOBACCO MUSIC EDITION"
868927,2819162,A119855576965642,GENTLE VOICES AND CELESTIAL MUSIC,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868934,3146478,A753916352399672,"GENTLE WATER SOUND, WIND BELLS AND DISTANT CHANT  SOUND EFFECTS LIBRARY","TRIVELLATO, GIORDANO",GIULIANO SACCHETTO-GIORDANO TRIVELLATO
868935,3149097,A806017876419226,GENTLE WATER STREAM WITH TIBETAN BELLS,"TRIVELLATO, GIORDANO",SACCHETTO GIULIANO/TRIVELLATO GIORDANO
868936,2819167,A360433698000953,GENTLE WATERFALL,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
868944,2819171,A537876370507653,GENTLE WAVES,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
868956,2819182,A627659785667297,GENTLE WIND,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
869002,2819198,A329918871473971,GENTLY RAINING (WATER FALLING SOUND),TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
869164,3018842,A956510672555236,GEORGIA OFF MY MIND,WADE/TYLER/WILLS,ANDREW SCOTT WILLS;CHAD TYLER;JARED WADE
869172,724120,A518022188525665,GEORGIAVANIA,KNIGHTON/GILYARD,OMAR J GILYARD;WILLIE EDWARD KNIGHTON
869196,2819217,A824723648584282,GESCHMACK DER FREIHEIT,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
